id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points
80,Saudi Factory For Environmental Solvents,32004,0.169061236,0.083252662,0.117088608,0,0.220309811,0,0,47.04890695,1
81,QS ADHESIVES&SEALANTS S.L,1188,0.049100293,0.158760891,0.113924051,0.016393443,0.13253012,0.036155097,0,46.69857356,1
82,Dörken Service GmbH,10506,0.016041289,0.028073572,0.082278481,0.098360656,0.079173838,0.043067885,0,46.59905081,1
83,Grüssing GmbH,22772,0.073092482,0.207163601,0.091772152,0.016393443,0.21858864,0.000139955,0,46.58935057,1
84,Georges S. Daras,27799,0.112568001,0.232333011,0.079113924,0,0.270223752,0,0,46.57902301,1
85,Agfa-Gevaert N.V.,13489,0.057051193,0.212003872,0.07278481,0.016393443,0.287435456,0.00071977,0,45.73215357,1
86,Möller Chemie GmbH & Co. KG,21846,0.025387083,0.056147144,0.091772152,0.06557377,0.092943201,0.050633797,0,45.25643564,1
87,Sate Gıda ve Kimya San. ve Tic. Ltd. Şti,22559,0.139071,0.240077444,0.069620253,0,0.235800344,0,0,44.67149007,1
88,BELCHEMSERVICE JSC,23884,0.084391128,0.292352372,0.088607595,0,0.156626506,0,0,44.3900193,1
89,Stera Chemicals SRL,779,0.114799833,0.100677638,0.107594937,0,0.239242685,0,0,44.25499512,1
90,Clariant,26056,0.145627005,0.113262343,0.037974684,0.016393443,0.364888124,0.018194178,0,43.88191661,1
91,"""Polari team"" DOO , Cacak",13672,0.087041428,0.069699903,0.091772152,0.016393443,0.247848537,0.014795266,0,43.34213888,1
92,Chemical Point UG,17721,0.05774864,0.121974831,0.098101266,0,0.289156627,0,0,43.06425802,1
93,Schindlerswerk GmbH & Co. KG,24724,0.122890222,0.175217812,0.063291139,0.016393443,0.240963855,0,0,42.89051084,1
94,Acril Nova,15036,0.093876412,0.081316554,0.10443038,0.032786885,0.125645439,0.003532203,0,42.83859355,1
95,yapı lider kimya sanayi ve ticaret a.ş,12461,0.064862603,0.116166505,0.148734177,0,0.079173838,0,0,42.75698276,1
96,Chemie Solve sourcing Ltd.,2077,0.061514856,0.590513069,0.009493671,0,0.163511188,0,0,42.67568978,1
97,Polyment GmbH,1448,0.165573999,0.17231365,0.085443038,0,0.17383821,0,0,42.67490053,1
98,Düzey Kimya,24696,0.15483331,0.265246854,0.079113924,0,0.101549053,0,0,41.90424567,1
99,Erak trade,18141,0.062770261,0.037754114,0,0,0.726333907,0,0,41.34291411,1
100,VUAB pharma,18248,0.051611103,0.139399806,0.158227848,0,0,0,0,41.19611511,2
101,BELCHIMSET JSC,19824,0.047426419,0.121974831,0.101265823,0.016393443,0.154905336,0.012985252,0,41.0457076,2
102,"ICHEM - Produits Chimiques Ichem, Inc.",5895,0.077974613,0.082284608,0.129746835,0,0.134251291,0,0,40.67489268,2
103,CEMP,25494,0.068628819,0.217812197,0.10443038,0,0.106712565,0,0,40.54375498,2
104,Foster Chemicals GmbH,21496,0.144511089,0.089060987,0.047468354,0.032786885,0.239242685,0.006628426,0,40.3546286,2
105,Aquapolimer,25220,0.077277166,0.132623427,0.075949367,0.016393443,0.163511188,0.030169546,0,40.15610551,2
106,HSH Chemie S.R.L. Romania,2675,0.021620868,0.155856728,0.113924051,0.032786885,0.034423408,0,0,39.93723735,2
107,SOUTH AGRO SRL,4603,0.042544288,0.086156825,0.139240506,0,0.110154905,0,0,39.79090217,2
108,CHEM OVERSEAS FOR IMP. EXP,27425,0.106709443,0.112294288,0.094936709,0,0.192771084,0,0,39.57608258,2
109,Vimal Intertrade Pvt. Ltd,1201,0.350118566,0.232333011,0,0,0.206540448,0,0,39.44960121,2
110,BTT-Beschichtungstechnik GmbH & Co.KG,17433,0.063607198,0.095837367,0.091772152,0.016393443,0.141135972,0.024592131,0,39.12135881,2
111,VEBI ISTITUTO BIOCHIMICO SRL,22294,0.08146185,0.204259439,0.066455696,0,0.228915663,0,0,39.02298678,2
112,Chime S.p.a.,18286,0.044218162,0.162633107,0.085443038,0,0.225473322,0,0,38.70483714,2
113,Trastamo,19010,0.183149672,0.096805421,0.066455696,0,0.227194492,0,0,38.64861852,2
114,Aosta DOO,32609,0.030966662,0.069699903,0.164556962,0,0.010327022,0,0,38.46107178,2
115,SAS LES 1001 FEUILLES  (LES MILLE ET UNE FEUILLES),29668,0.113265448,0.159728945,0.101265823,0,0.089500861,0,0,38.37792725,2
116,ESER KİMYA,25414,0.069047287,0.069699903,0.126582278,0,0.122203098,0,0,38.36397011,2
117,Sel kimya,17448,0.037941135,0.060987415,0.142405063,0,0.091222031,0,0,37.98854174,2
118,"Radka S.R.O., Pardubice",701,0.052169061,0.149080348,0.107594937,0,0.127366609,0,0,37.94978829,2
119,Mega EM,15206,0.05244804,0.169409487,0.094936709,0,0.148020654,0,0,37.48125083,2
120,Stanlab SP ZOO,34932,0.146603431,0.145208132,0.088607595,0,0.099827883,0,0,37.30349129,2
121,Tnh Kimya Arge ve Teknoloji Merkezi Ltd. Şti,27498,0.050355698,0.096805421,0.120253165,0,0.113597246,0,0,37.08855118,2
122,ODO Dinko,1412,0.165713489,0.347531462,0,0,0.223752151,0,0,36.84985509,2
123,"""BONUSTRADE"", TRADE AND PRODUCTION ENTERPRISE, LLC",31770,0.204073092,0.163601162,0.025316456,0,0.25989673,0,0,36.44184034,2
124,Cinkanlar a.s.,20785,0.082298786,0.024201355,0.120253165,0,0.139414802,0,0,36.3463801,2
125,Polimed Ilac ve Tavukculuk Tic. ve San. Ltd. Şti.,30786,0.089552239,0.048402711,0.07278481,0,0.296041308,0,0,36.2567749,2
126,DURAN CHEMICALS SA DE CV,2003,0.163342168,0.477250726,0,0,0.074010327,0,0,35.73016104,2
127,Akkim,15896,0.057330172,0.196515005,0.041139241,0.032786885,0.161790017,8.86E-06,0,35.56787081,2
128,Upex Yapi Kimyasallari,22106,0.07086065,0.024201355,0.123417722,0,0.113597246,0,0,35.11650688,2
129,"GP""PEMIR"" DOO KIKINDA",32062,0.036127772,0.14714424,0.126582278,0,0.010327022,0,0,34.99640744,2
130,Rostovskaya Khimicheskaya Torgovlya LLC,2034,0.245501465,0.348499516,0,0,0.096385542,0,0,34.51932614,2
131,NANDO UAB,8086,0.042265309,0.079380445,0.069620253,0.032786885,0.154905336,0.001603154,0,34.46929754,2
132,Centrohem,23004,0.024689636,0.059051307,0.129746835,0,0.084337349,0,0,34.3532817,2
133,SoleChem Kimya AS,31945,0.073650439,0.086156825,0.107594937,0,0.094664372,0,0,34.24256914,2
134,RAKSYSCOM PTE LTD Singapore,25889,0.028595341,0.019361084,0.148734177,0,0.039586919,0,0,34.12400266,2
135,Preparados Quimicos de Navarra S.L,8880,0.176314688,0.065827686,0.047468354,0,0.244406196,0,0,33.82109943,2
136,Coremal SA,1441,0.156228205,0.218780252,0.003164557,0.016393443,0.21858864,0.001392888,0,33.73074351,2
137,CarboCode,16173,0.057190682,0.138431752,0.098101266,0,0.08605852,0,0,33.70430087,2
138,Diolsem SRL,34341,0.070581671,0.093901258,0.107594937,0,0.079173838,0,0,33.70182573,2
139,SC VESTEL SRL,8956,0.08397266,0.12875121,0.060126582,0.016393443,0.149741824,0.001986031,0,33.62589282,2
140,Ekoladies AB,29873,0.065839029,0.159728945,0.034810127,0.032786885,0.170395869,0.002397899,0,33.55738446,2
141,3V Sigma spa,31091,0.127074906,0.251694095,0.034810127,0,0.142857143,0,0,33.0433325,2
142,BEAUTYTECH SERVICES SIA,30043,0.158878505,0.149080348,0.044303797,0,0.17211704,0,0,32.86455413,2
143,H.B. Fuller Adhesives Italia s.r.l.,20787,0.042265309,0.308809293,0,0,0.30464716,0,0,32.78608812,2
144,Sermet Foreign Trading,34836,0.030548194,0.034849952,0.142405063,0,0.017211704,0,0,32.61150512,2
145,Vanya GmbH,16346,0.000418468,0.001936108,0.018987342,0.131147541,0,0.023973662,0,32.54207157,2
146,ALTAKEM CHEMICALS,18005,0.100292928,0.090029042,0.047468354,0,0.270223752,0,0,32.52095697,2
147,ATAS s.r.l.,32896,0.175477751,0.132623427,0.028481013,0,0.225473322,0,0,32.37492754,2
148,Farben Koch GmbH,21202,0.078532571,0.05517909,0.063291139,0.016393443,0.17383821,0.009268114,0,32.24122133,2
149,Semtu Oy,4327,0.228065281,0.20232333,0,0,0.213425129,0,0,32.19068701,2
150,Panaska Trading Co Ltd,26003,0.120379411,0.260406583,0.034810127,0,0.122203098,0,0,32.11147993,2
151,VladaChem GmbH,18635,0.23085507,0.114230397,0,0,0.290877797,0,0,31.79816321,2
152,Wooshin Pigment Iksan Branch,1338,0.190542614,0.272991288,0,0,0.17211704,0,0,31.78254706,2
153,ALWA Technische Produkte für Kunststoffverarbeitung Modell- und Formbau GmbH,26141,0.084809597,0.092933204,0.028481013,0,0.340791738,0,0,31.62292951,2
154,Ad Terram BV,21416,0.005719068,0.032913843,0.041139241,0.098360656,0.030981067,0,0,31.38067817,2
155,DETSAN KİMYA,31733,0.051611103,0.125847047,0.082278481,0,0.120481928,0,0,31.35270013,2
156,HSH-Chemie,9582,0.035430325,0.20232333,0.034810127,0,0.246127367,0,0,31.1560764,2
157,United Quantum Factory sp.z.o.o,32081,0.050076719,0.015488867,0.126582278,0,0.049913941,0,0,31.0904321,2
158,Defni ApS,29544,0.05258753,0.186834463,0.07278481,0,0.091222031,0,0,31.08916319,2
159,Komochem,17920,0.053284977,0.124878993,0.056962025,0.032786885,0.082616179,0,0,30.98878957,2
160,IKOCHIMIKI,17657,0.057190682,0.125847047,0.094936709,0,0.055077453,0,0,30.89310088,2
161,"OZEKI CO.,LTD",1457,0.236992607,0.332042594,0,0,0.046471601,0,0,30.77534011,2
162,Asil Kimyasal,31961,0.084530618,0.157792836,0.075949367,0,0.068846816,0,0,30.74838693,2
163,AUTOFIX S.A.,22233,0.036267262,0.056147144,0.098101266,0.016393443,0.056798623,0.002099328,0,30.56952597,2
164,"V & V DevelopmentsLtd., ZNL Deutschland",1154,0.071697587,0.097773475,0.075949367,0,0.137693632,0,0,30.54810811,2
165,Brenntag Nederland B.V.,9157,0.014088436,0.004840271,0.009493671,0.098360656,0.024096386,0.068055722,0,30.52769219,2
166,LAGUERRE,21182,0.025805552,0.11035818,0.082278481,0.016393443,0.070567986,0.003412241,0,30.41219477,2
167,FH diffusion,20008,0.070023713,0.118102614,0.053797468,0,0.199655766,0,0,30.14859831,2
168,Caree Chemie GmbH,8908,0.019110057,0.004840271,0.047468354,0.081967213,0.049913941,0.005307235,0,30.1110505,2
169,Noahs Ark Chemicals,2831,0.046868461,0.039690223,0.10443038,0,0.092943201,0,0,29.86117022,2
170,HOS-Technik GmbH,21835,0.058864556,0.081316554,0.047468354,0.016393443,0.194492255,0.0034389,0,29.84991758,2
171,PT. Behn Meyer Chemicals,1322,0.190263635,0.327202323,0,0,0.077452668,0,0,29.74593131,2
172,Viva Trade,18516,0.059004045,0.120038722,0.047468354,0.016393443,0.158347676,0.000953028,0,29.73718444,2
173,ED STRAFOR VE YAPI MALZEMELERI IMALATI GIDA (REDCOLOUR),15826,0.003068768,0.005808325,0.03164557,0.114754098,0,0,0,29.72378827,2
174,UZ-AR MÜHENDİSLİK KİMYA SAN. VE DIŞ TİC. LTD. ŞTİ.,34654,0.137536616,0.079380445,0.053797468,0,0.160068847,0,0,29.60878908,2
175,Agrovit Group,32717,0.079787976,0.132623427,0.07278481,0,0.08605852,0,0,29.48045816,2
176,Magnochrom Aluminates LLC,21499,0.076300739,0.058083253,0.07278481,0,0.160068847,0,0,29.27960396,2
177,Adamas Contractors,34501,0.09722416,0.075508228,0.07278481,0,0.117039587,0,0,29.04556077,2
178,SC Chemical Company SA,23876,0.008090389,0.040658277,0.123417722,0,0.037865749,0,0,29.01426504,2
179,IRURENA GROUP,17229,0.029711257,0.111326234,0.069620253,0.016393443,0.092943201,0,0,28.90177378,2
180,cnp polymer gmbh,9316,0.062770261,0.115198451,0.082278481,0,0.067125645,0,0,28.71041407,2
181,Wieds Ecochem AG,1779,0.034593388,0.079380445,0.069620253,0.016393443,0.111876076,0.001812753,0,28.67650994,2
182,GRUPO ANDINO DE INVERSIONES SAC,15997,0.056772214,0.041626331,0.025316456,0.032786885,0.039586919,0.101019065,0,28.62184791,2
183,Genesys International Ltd,27446,0.042404798,0.090997096,0.07278481,0,0.141135972,0,0,28.28385536,2
184,Romonta Holding GmbH,24852,0.041707351,0.059051307,0.028481013,0.049180328,0.153184165,0,0,28.22940927,2
185,Agrivalle,31278,0.014367415,0.087124879,0.110759494,0,0.018932874,0,0,28.17315716,2
186,MKS DevO Kimya Merkez,24911,0.044776119,0.115198451,0.069620253,0,0.123924269,0,0,28.11899258,2
187,EDILTECO Spa,2441,0.015343842,0.030977735,0.120253165,0,0.032702238,0,0,28.0018236,2
188,Eptatech S.r.l,20005,0.028595341,0.137463698,0.034810127,0.032786885,0.106712565,0.008326007,0,27.99058324,2
189,Planet Agencies,34691,0.017296694,0.034849952,0.123417722,0,0.012048193,0,0,27.89328623,2
190,Chemstil,18722,0.02622402,0.090029042,0.079113924,0,0.122203098,0,0,27.7455928,2
191,OQEMA Ukraine LLC,13030,0.134188869,0.105517909,0.006329114,0,0.289156627,0,0,27.708993,2
192,Halo Industry S.p.A.,23808,0.051471614,0.187802517,0.041139241,0,0.149741824,0,0,27.67864587,2
193,BURBOYA AS,8296,0.051192635,0.191674734,0.050632911,0,0.103270224,0,0,27.4334619,2
194,Additek SAS,21762,0.069047287,0.130687318,0.03164557,0.016393443,0.156626506,0,0,27.42585802,2
195,Chemispec,8473,0.029013809,0.058083253,0.107594937,0,0.030981067,0,0,27.4228938,2
196,Laviosa Chimica Mineraria Spa,16074,0.077556145,0.071636012,0.037974684,0.016393443,0.180722892,0,0,27.36937762,2
197,Super Nail Center GmbH,20520,0.03933603,0.137463698,0.07278481,0,0.079173838,0,0,27.35564034,2
198,VIPO a.s.,22247,0.073092482,0.156824782,0.037974684,0,0.165232358,0,0,27.35241779,2
199,INCASA SL,31540,0.036406751,0.042594385,0.10443038,0,0.048192771,0,0,27.24577133,2
200,QUIMIMONT SLU,25183,0.036964709,0.141335915,0.066455696,0,0.098106713,0,0,27.11150607,2
201,Ask s.a.l,32323,0.079927465,0.068731849,0.07278481,0,0.101549053,0,0,27.06738042,2
202,Mavi Tarım,27180,0.036406751,0.063891578,0.10443038,0,0.022375215,0,0,27.01975317,2
203,BOTEK AR-GE KİMYA A.Ş,30342,0.121634817,0.023233301,0.053797468,0,0.17555938,0,0,26.78086857,2
204,"Ciano Aquarium, S.A.",8262,0.054958851,0.092933204,0.056962025,0,0.156626506,0,0,26.61833311,2
205,Nature Vital GmbH Co.KG,20529,0.027758404,0.244917715,0.015822785,0,0.189328744,0,0,26.26480012,2
206,Global SciTech Innovations Ltd,31837,0.063188729,0.157792836,0.050632911,0,0.098106713,0,0,26.08099619,2
207,Mani Mark Paper Plast,25819,0.02622402,0.099709584,0.041139241,0,0.230636833,0,0,26.05636994,2
208,HSH Chemie SK s.r.o.,23497,0.047565909,0.194578896,0.044303797,0,0.101549053,0,0,26.04545242,2
209,Poitara,16730,0.042683777,0.071636012,0.082278481,0,0.077452668,0,0,26.04431904,2
210,MSP Trade 87 Ltd,31287,0.071418608,0.142303969,0.015822785,0.016393443,0.110154905,0.033122734,0,25.94939301,2
211,AB-Polymerchemie,8279,0.043102246,0.05517909,0.063291139,0.032786885,0.036144578,0,0,25.9369006,2
212,SIA COSMETIC LAB,34436,0.090807644,0.14714424,0.050632911,0,0.075731497,0,0,25.81075135,2
213,BRENNTAG KIMYA TIC.LTD.ŞTI.,10291,0.038778072,0.120038722,0.066455696,0,0.091222031,0,0,25.79308051,2
214,Theo Seulberger-Chemie GmbH & Co. KG,20503,0.019528526,0.173281704,0.006329114,0.016393443,0.230636833,0,0,25.71686443,2
215,AC Valquimia SLU,18817,0.005579579,0.020329138,0.082278481,0.032786885,0.005163511,0.011396353,0,25.70631999,2
216,Tehnohemija a.d.,15926,0.040451946,0.214908035,0.050632911,0,0.055077453,0,0,25.64845395,2
217,FABERCHIMICA SRL,14245,0.156228205,0.134559535,0.022151899,0,0.13253012,0,0,25.59627278,2
218,Hochschule Kaiserslautern,31068,0.049379272,0.114230397,0.022151899,0,0.254733219,0,0,25.34752411,2
219,Tailors Energy SA,31749,0.104756591,0.083252662,0.050632911,0,0.115318417,0,0,25.29296576,2
220,Chemical Point italia s.r.l.,31857,0.057190682,0.057115198,0.037974684,0,0.239242685,0,0,25.27236499,2
221,Agakim Kimya Sanayi ve Ticaret A.Ş.,25736,0.079230018,0.154888674,0.022151899,0,0.182444062,0,0,25.25851744,2
222,Unifab Chemicals,33674,0.049239782,0.151016457,0.063291139,0,0.051635112,0,0,25.25279541,2
223,TEKNO YAPI KİMYASALLARI SAN.VE TİC.A.Ş.,17073,0.034732878,0.164569216,0.053797468,0,0.089500861,0,0,25.19964138,2
224,Beaulieu International Group,22213,0.051611103,0.139399806,0.050632911,0,0.108433735,0,0,25.09881451,2
225,ALEXA KİMYA BOYA VE OTOMASYON SAN TİC A.Ş,17446,0.002231831,0.000968054,0.07278481,0.049180328,0.005163511,0,0,24.81119744,2
226,Eurasia Trade OÜ,33096,0.059701493,0.044530494,0.088607595,0,0.036144578,0,0,24.74034722,2
227,Elif Endustriyel Kimyasallari,11141,0.035290836,0.071636012,0.079113924,0,0.068846816,0,0,24.61146796,2
