id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
403,C&G Pigment Europe GmbH,8607,0.014871975,0,0,0.545454545,0.86,0,0,0,71.01632601,1,0,1,1,0,0,6,0
404,Kimteks Kimya Tekstil ürünleri Tic. A.S.,8636,0.022518415,0.045558087,0,0.938271605,0.6575,0,0,0,90.02611829,1,0,1,1,0,3,1,0
405,Anex by Interplast Kimya San. ve Tic. A.S.,8637,0.007786741,0,0,0.571428571,0.43875,0,0,0,50.89826565,1,0,1,1,0,0,6,7
406,ChiraSol GmbH,8648,0.00252543,0,0,0.166666667,0.573255814,0,0,0,37.12239551,2,1,0,2,1,4,2,1
407,Aryan Chemicals,8661,0.037390389,0.054669704,0.009090909,1,1,0.007339474,0,1,315.3555895,0,0,1,3,4,5,5,4
408,GOLDEN WAY İNTERNATİONAL İTHALAT İHRACAT VE İŞDANIŞMANLIĞI LİMİTED ŞİRKETİ,8667,0.113854788,0.045558087,0,0.8,0.647272727,0,0,0,87.16799307,1,0,1,1,0,3,1,0
409,Unicell Poland,8682,0.000210452,0,0,0,0.43,0,0,0,21.51052262,2,1,0,2,1,4,2,1
410,Petrovlis Chemicals,8688,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
411,CANTON LABORATORIES PVT. LTD,8702,0.875131533,0,0,0.232283465,0.976977778,0,0,0,104.2196388,0,1,0,2,2,1,4,2
412,Chiyuen International Trading Limited,8740,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
413,ProComm Chemicals Ltd,8763,0.009540512,0.027334852,0,0.395061728,0.462307692,0,0,0,48.81246703,1,1,0,2,1,0,6,7
414,MINE COLOURS,8809,0.004910558,0.004555809,0.009090909,0.75,0.476666667,0,0,0,64.30820477,1,0,1,1,0,0,6,5
415,Dinesh Fabricated Mica Works,8941,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
416,EXPOQUIMXEL – INDÚSTRIA DE PRODUTOS QUÍMICOS LDA,9062,0,0,0,0,0.160901034,0,0,0,8.045051699,2,1,2,0,3,2,0,3
417,SP ENTERPRISES,9082,0.002034374,0,0,0,0.336666667,0,0,0,16.93505203,2,1,2,0,1,4,2,1
418,ACSCHEM Pte Ltd,9100,0.001332866,0,0,0,0.57,0,0,0,28.56664328,2,1,0,2,1,4,2,1
419,ma.gi.co. srl,9187,0.012627148,0,0,0.916666667,0.593333333,0,0,0,76.13135742,1,0,1,1,0,3,1,5
420,Sarna Chemicals Pvt Ltd,9192,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
421,Suwarna Industries,9298,0.004700105,0,0,0,0.71,0,0,0,35.73500526,2,1,0,2,2,1,4,2
422,Sinteza Romania,9305,0.001403016,0.006833713,0,0.333333333,0.57,0,0,0,46.60356009,1,1,0,2,1,0,6,7
423,Georges S Daras,9307,0,0,0,0,0.5,0,0,0,25,2,1,0,2,1,4,2,1
424,GenoSynth GmbH,9349,0.004349351,0,0,0.7,0.57,0,0,0,63.71746756,1,0,1,1,0,0,6,5
425,Quality Quartz,9357,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
426,INTER-HEM DOO,9374,0.028551385,0,0,0.097087379,0.29,0,0,0,20.78193821,2,1,2,0,1,4,2,1
427,Ascot International (1996) Ltd.,9388,0.055910207,0,0,1,0.787083333,0,0,0,92.14967701,1,0,1,1,0,3,1,0
428,OrelTech,9393,0.003016485,0,0,0,0.57,0,0,0,28.65082427,2,1,0,2,1,4,2,1
429,Pexa Ltd,9402,0.000350754,0,0,0,0.43,0,0,0,21.51753771,2,1,0,2,1,4,2,1
430,Midas Pharma GmbH,9431,0.001964223,0,0,0,0.57,0,0,0,28.59821115,2,1,0,2,1,4,2,1
431,FREE FLUID LTD,9474,0.017397404,0.011389522,0,0.689655172,0.903333333,0,0,0,82.79719984,1,0,1,1,0,3,1,0
432,Arkem Chemicals Bulgaria,9475,0.011153981,0.006833713,0,0.396551724,0.336216216,0,0,0,38.56283867,2,1,2,0,1,0,6,7
433,Химпищеаромат (Khimpishchearomat LLC),9519,0.012977902,0,0,0.058823529,0.57,0,0,0,32.0900716,2,1,0,2,1,4,2,1
434,Leena Organics Pvt Ltd,9531,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
435,ALTIN ATES KIMYA ANONIM SIRKETI,9539,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
436,Addi-tec Ltd,9607,0.026797615,0.006833713,0.018181818,1,0.375795454,0,0,0,75.1327597,1,0,1,1,0,3,1,5
437,Unitrade Corporation,9625,0.009821115,0.002277904,0,0.263157895,0.217619048,0,0,0,24.98548375,2,1,2,0,3,2,0,3
438,AMF Life,9629,0.001052262,0,0,0,0.43,0,0,0,21.55261312,2,1,0,2,1,4,2,1
439,"MINERALS RESOURCES - DEVELOPMENT, S.A.",9636,0.005892669,0.01594533,0.045454545,0.7,0.410909091,0,0,0,68.12006316,1,0,1,1,0,0,6,5
440,POLARIS ORES,9637,0,0,0,0,0.417272727,0,0,0,20.86363636,2,1,0,2,1,4,2,1
441,Detonovo Foods,9642,0.002174676,0,0,0,0.342,0,0,0,17.20873378,2,1,2,0,1,4,2,1
442,Khushi Dyechem,9650,0.009049456,0,0,0.476190476,0.287464789,0,0,0,38.63523606,2,1,2,0,1,0,6,7
443,UDO Mining,9656,0.001473167,0.002277904,0,0,0.71,0,0,0,36.02923923,2,1,0,2,2,1,4,2
444,Earth Enterprises,9671,0.004980709,0,0,0,0.57,0,0,0,28.74903543,2,1,0,2,1,4,2,1
445,Asianol Lubricants Ltd,9676,0.000911961,0,0,0,0.7525,0,0,0,37.67059804,2,1,0,2,2,1,4,2
446,Narsipur Chemicals Pvt ltd,9681,0.003086636,0,0,0,0.654,0,0,0,32.85433181,2,1,0,2,2,1,4,2
447,Prakash Chemicals Europe B.V.,9683,0.031287268,0.002277904,0,0.211764706,0.43,0,0,0,34.10817954,2,1,0,2,1,4,2,1
448,Silvaco A/S,9686,0.001052262,0,0,0,0.346,0,0,0,17.35261312,2,1,2,0,1,4,2,1
449,Wembley Chemicals and Supplies LTD,9769,0.016345142,0.013667426,0,0.916666667,0.736086957,0,0,0,86.18842346,1,0,1,1,0,3,1,0
450,Polytrade Global GmbH,9772,0.004068748,0,0,0,0.835714286,0,0,0,41.98915168,2,1,0,2,2,1,4,2
451,SAFIC-ALCAN RUS,9806,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
452,Cosmetica Bolognese,9891,0.000210452,0,0,0,0.616666667,0,0,0,30.84385596,2,1,0,2,1,4,2,1
453,Polichem Trade Kimya Turkey,9966,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
454,Polymer Corp LLC,10016,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
455,MRV Mineral- und Rohstoffvertrieb GmbH,10088,0.003647843,0.004555809,0,0.8,0.71,0,0,0,76.59355387,1,0,1,1,0,3,1,0
456,Samyang Biophamraceuticals Corp.,10106,0.000140302,0,0,0,0.57,0,0,0,28.50701508,2,1,0,2,1,4,2,1
457,JSC Karpov Chemical Plant,10117,0.014731673,0,0,0.428571429,0.711111111,0,0,0,57.72071064,1,0,0,2,2,0,6,7
458,MADKIM MADEN VE KIMYA SAN. VE TİC. LTD. STI.,10126,0.029252894,0,0,0.777777778,0.55,0,0,0,67.85153357,1,0,1,1,0,3,1,5
459,TERRAZO DE MEXICO,10134,0.004559804,0,0,0,0.71,0,0,0,35.72799018,2,1,0,2,2,1,4,2
460,"Handan Shijia Chemical Technology Co.,ltd",10144,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
461,Anshika Polysurf Limited,10253,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
462,"Tuan Tsuki Vietnam Co.,Ltd",10282,0.002385128,0,0,0,0.43,0,0,0,21.6192564,2,1,0,2,1,4,2,1
463,Alpkim Dış Ticaret Limited Şirketi,10284,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
464,Kaustik Europe B.V.,10297,0.016836198,0,0,0.1875,0.5175,0,0,0,36.09180989,2,1,0,2,1,4,2,1
465,B.K.M. DANISMANLIK VE SOSYAL HIZMETLER TEKSTIL SANAYI TLS,10309,0.052472817,0.072892938,0.018181818,1,0.4235,0.00148163,0,0,92.16175514,1,0,1,1,0,3,1,5
466,Primma Pharma Chem,10330,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
467,"HELIOS TBLUS, d.o.o.",10332,0.050368292,0,0,0.9375,0.394263566,0,0,0,69.10659289,1,0,1,1,0,3,1,5
468,Mansur Global AB,10356,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
469,Rain Carbon Germany GmbH,10384,0.002244826,0,0,0,0.57,0,0,0,28.61224132,2,1,0,2,1,4,2,1
470,Rebain International (NL) B.V.,10414,0.071904595,0.066059226,0.027272727,0.413249211,0.303896104,0.033260426,0.04,0,73.4449287,1,1,2,0,1,0,6,7
471,INVERTIR COMERCIAL MARFRAN SL,10429,0.021746756,0.036446469,0,1,0.550909091,0,0,0,85.92208617,1,0,1,1,0,3,1,5
472,MEHTA OIL INDUSTRIES,10470,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
473,PT.GLOBAL CHEMINDO INTERNASIONAL,10507,0,0,0,0,0.19,0,0,0,9.5,2,1,2,0,3,2,0,3
474,Reys Portugal,10511,0.012206243,0,0,0.1,0.785833333,0,0,0,44.90197884,1,1,0,2,2,1,4,2
475,MUDRA ENTERPRISES,10513,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
476,YUSHUN NEW MATERIALS,10520,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
477,"SwiSS-9, GmbH",10546,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
478,SEABERT CHEMICALS PVT LTD,10567,0.000140302,0,0,0,0.43,0,0,0,21.50701508,2,1,0,2,1,4,2,1
479,CHMEO TRADING PVT LTD,10607,0.028621536,0.002277904,0,0.12987013,0.304067797,0,0,0,23.583554,2,1,2,0,1,4,2,1
480,Paramount Enterprises,10617,0,0,0,0,0.86,0,0,0,43,2,1,0,2,2,1,4,2
481,Healthguard Hygiene Limited,10638,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
482,GUJARAT MULTI GAS BASE CHEMICALS PVT. LTD.,10669,0.005050859,0.004555809,0,0.6,0.523333333,0,0,0,57.33037137,1,0,1,1,0,0,6,7
483,Simon Pars,10690,0,0,0,0,0.285,0,0,0,14.25,2,1,2,0,1,4,2,1
484,Arham Petrochem,10697,0.013960014,0,0,0.125,0.5875,0,0,0,36.3230007,2,1,0,2,1,4,2,1
485,NanoScientifica Scandinavia AB,10733,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
486,UAB Parchemika,10743,0.047562259,0.006833713,0,1,0.786666667,0,0,0,93.07818887,1,0,1,1,0,3,1,0
487,BEL Sp. z o.o,10748,0.012276394,0.009111617,0,0.384615385,0.654,0,0,0,54.36691241,1,1,0,2,2,0,6,7
488,Nuvola İç ve Dış Ticaret,10750,0.003577692,0,0,0,0.57,0,0,0,28.6788846,2,1,0,2,1,4,2,1
489,QMEA Chemical Solutions,10791,0,0,0,0,0.284482759,0,0,0,14.22413793,2,1,2,0,1,4,2,1
490,QUATERNIA S.L.,10792,0.009470361,0,0,0,0.86,0,0,0,43.47351806,1,1,0,2,2,1,4,2
491,Jivika Chem International LLP,10832,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
492,Avanzare Innovación Tecnológica S.L.,10837,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
493,Belchem Industries (India) Pvt. Ltd.,10845,0.001894072,0,0,0,0.43,0,0,0,21.59470361,2,1,0,2,1,4,2,1
494,EURIKAS BV,10848,0.003507541,0,0,0,0.185454545,0,0,0,9.448104333,2,1,2,0,3,2,0,3
495,Tiara Development,10869,0.003156787,0,0,0,0.71,0,0,0,35.65783935,2,1,0,2,2,1,4,2
496,VIO Chemicals,10872,0.002665731,0,0,0,0.492222222,0,0,0,24.74439768,2,1,0,2,1,4,2,1
497,AgroFarma Tarım Gıda İnşaat San. Tic. Ltd. Şti.,10876,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
498,VIO AG PHARMACEUTICALS,10878,0.000350754,0,0,0,0.275,0,0,0,13.76753771,2,1,2,0,1,4,2,1
499,"TOROZA QUIMICA, S.A. DE C.V.",10886,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
500,Blackburn Chemicals Limited,10915,0.013679411,0,0,0,0.43,0,0,0,22.18397054,2,1,0,2,1,4,2,1
501,VALEX GROUP LLC,10929,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
502,Dr. Jet Health Advance Trading,10931,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
503,Accenture,10954,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
504,Innoract,10970,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
505,"JINWOO TRADING CO., LTD.",10981,0.000631357,0,0,0,0.57,0,0,0,28.53156787,2,1,0,2,1,4,2,1
506,Chem-Pros Net,10997,0.015643634,0,0,1,0.753571429,0,0,0,88.46075312,1,0,1,1,0,3,1,0
507,Alexander Jones Ltd,11007,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
508,Test Supplier company,11047,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
509,Integral Petroleum SA,11050,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
510,JSC South Urals Magnesium Compounds plant,11051,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
511,358 sec 8/9 part 2nd huda,11052,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
512,J.M.D. Enterprises,11064,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
513,Akash udyog,11075,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
514,Lab Instruments Srl,11108,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
515,BRMMARKETING BRMESSENTIALOILS,11110,0,0,0,0,0.86,0,0,0,43,2,1,0,2,2,1,4,2
516,Atul Europe Ltd,11112,0.006944932,0.006833713,0,0.666666667,0.442941177,0,0,0,57.19438133,1,0,1,1,0,0,6,7
517,Pidilite Industries Limited,11140,0.000911961,0,0,0,0.4356,0,0,0,21.82559804,2,1,0,2,1,4,2,1
518,PROREUSE SRLS,11160,0.076183795,0.013667426,0,0.980392157,0.659444444,0,0,0,88.53450502,1,0,1,1,0,3,1,0
519,ZAR DYECHEM,11165,0,0,0,0,0.395,0,0,0,19.75,2,1,0,2,1,4,2,1
520,Sorbead India,11186,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
521,Alphaxchem LLP,11201,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
522,Centro-Chem,11203,0.123184847,0.218678815,0.045454545,0.510909091,0.35826087,0.008112806,0,0,103.2556932,0,0,1,1,0,0,6,7
523,AISS BV and Adcos-International BV,11260,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
524,Zhermack spa,11301,0.000350754,0,0,0,0.71,0,0,0,35.51753771,2,1,0,2,2,1,4,2
525,Marubeni,11321,0.019361627,0.006833713,0.009090909,0.863636364,0.658,0,0,0,80.23482397,1,0,1,1,0,3,1,0
526,"Shijiazhuang Xinlongwei Chemical Co., Ltd.",11366,0,0,0,0,0.523333333,0,0,0,26.16666667,2,1,0,2,1,4,2,1
527,LLC UMANHIMTRADE Ukraine,11378,0.023921431,0.025056948,0,0.375,0.180372671,0,0,0,33.97609462,2,1,2,0,3,0,6,7
528,solvadis distribution gmbh,11397,0.003156787,0.002277904,0,0.952380952,0.275365854,0,0,0,62.00076052,1,0,1,1,0,3,1,5
529,OQEMA Sp. z o.o.,11427,0.056260961,0.009111617,0,0.888324873,0.429171598,0,0,0,70.51019505,1,0,1,1,0,3,1,5
530,Covestro Deutschland AG,11429,0.033672396,0.029612756,0.009090909,1,0.828,0.007351828,0,0,101.5595356,0,0,1,1,0,3,1,0
531,Active Specialities,11432,0.000140302,0,0,0,0.43,0,0,0,21.50701508,2,1,0,2,1,4,2,1
532,Abbas Trading,11450,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
533,Bluestone Metals and Chemicals,11477,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
534,ALMAGAN GROUP,11501,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
535,Alesha,11503,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
536,Rebain International (España) S.L.,11509,0.070361277,0.002277904,0,0.161048689,0.299041096,0,0,0,26.97813395,2,1,2,0,1,4,2,1
537,REG Chemicals Ltd,11521,0.007786741,0.025056948,0,1,0.57,0,0,0,83.9007266,1,0,1,1,0,3,1,5
538,AJ Enterprise,11534,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
539,Ajohnpharma,11562,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
540,Golchha PIGMENTS,11609,0,0,0,0,0.86,0,0,0,43,2,1,0,2,2,1,4,2
541,Veeraco Colourants Pvt. Ltd.,11622,0.014661522,0.006833713,0,0.25,0.511407407,0,0,0,40.17018908,2,1,0,2,1,4,2,7
542,Castor International B.V.,11625,0.070150824,0,0,0.967391304,0.389473684,0,0,0,71.35079064,1,0,1,1,0,3,1,5
543,Supreme Micro Minerals Pvt. Ltd.,11628,7.02E-05,0,0,0,0.43,0,0,0,21.50350754,2,1,0,2,1,4,2,1
544,SIAD S.p.A.,11646,0.084742196,0,0,1,0.625,0,0,0,85.48710979,1,0,1,1,0,3,1,5
545,Craft Resin Limited,11662,0.005471764,0,0,0.2,0.43,0,0,0,31.77358821,2,1,0,2,1,4,2,1
546,Cinkarna Celje d.d.,11673,0.007435987,0.018223235,0,1,0.57,0,0,0,82.51644629,1,0,1,1,0,3,1,5
547,widmann solutions GmbH,11682,0.027148369,0.011389522,0.009090909,0.7375,0.743684211,0,0,0,79.51271512,1,0,1,1,0,3,1,0
548,DIFFUTHERM B.V.,11700,0.000210452,0,0,0,0.57,0,0,0,28.51052262,2,1,0,2,1,4,2,1
549,"Zhengzhong Enamel Co.,Ltd",11717,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
550,"METALOR TECHNOLOGIES (IBÉRICA),  S.A.",11728,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
551,ECEM bv,11780,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
552,Gamma Chimica Spa,11805,0.002034374,0.006833713,0.009090909,0.875,0.29,0.002201249,0,0,61.75676801,1,0,1,1,0,3,1,5
553,Aectra Investments Ltd,11837,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
554,ALEXION SSD LABORATORY,11838,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
555,Krisha Chem Industries,11882,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
556,Gemini Corporation Nv,11887,0.000210452,0,0,0,0.36,0,0,0,18.01052262,2,1,2,0,1,4,2,1
557,UP Catalyst,11890,0.019361627,0,0,0.789473684,0.86,0,0,0,83.44176559,1,0,1,1,0,3,1,0
558,visa chem private limited,11939,0,0,0,0,0.4975,0,0,0,24.875,2,1,0,2,1,4,2,1
559,DİGİTEXİNK BOYA VE KİMYA SANAYİ TİC.LTD.ŞTİ.,11998,0.000561207,0,0,0,0.57,0,0,0,28.52806033,2,1,0,2,1,4,2,1
560,7INDIGO,12010,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
561,AISAKOS SA,12025,0.000350754,0,0,0,0.29,0,0,0,14.51753771,2,1,2,0,1,4,2,1
562,TER Chemicals – BU CASE,12029,0.01704665,0.011389522,0.009090909,1,0.6084,0,0,0,85.36841866,1,0,1,1,0,3,1,5
563,"Thanapom Chemical Co .,ltd",12051,0,0,0,0,0.526923077,0,0,0,26.34615385,2,1,0,2,1,4,2,1
564,Adm Chemical Limited,12056,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
565,OQEMA AG,12078,0.241388986,0.075170843,0.018181818,0.998007968,0.246560365,0.001892515,0,1,293.1576497,0,0,1,3,4,5,5,4
566,"OQEMA, s.r.o.",12083,0.13188355,0.018223235,0,1,0.398515498,0,0,0,80.16459928,1,0,1,1,0,3,1,5
567,Novochem Ltd.,12085,0.007856892,0,0,0.138888889,0.43,0,0,0,28.83728906,2,1,0,2,1,4,2,1
568,LEVACO,12099,0.008698702,0,0,0,0.430285714,0,0,0,21.94922082,2,1,0,2,1,4,2,1
569,SAI ADVERTISING,12114,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
570,"Jostrong (Tianjin) Technology  Co., Ltd",12125,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
571,Oqema EOOD,12135,0.04258155,0,0,0.209150327,0.429583333,0,0,0,34.06576052,2,1,0,2,1,4,2,1
572,Likit Kimya AS,12163,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
573,Agmal,12188,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
574,NanoProf's Holland,12196,7.02E-05,0,0,0,0.71,0,0,0,35.50350754,2,1,0,2,2,1,4,2
575,Aleph Industries India Pvt ltd,12209,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
576,SPECIFIC POLYMERS,12215,0.038933707,0,0,1,0.670787037,0,0,0,85.48603723,1,0,1,1,0,3,1,0
577,Vink Chemicals GmbH & Co. KG,12234,0.063767099,0.027334852,0,0.772727273,0.650606061,0,0,0,79.82199202,1,0,1,1,0,3,1,0
578,Integra Plastics,12272,0.006173273,0.004555809,0,0,0.57,0,0,0,29.71982536,2,1,0,2,1,4,2,1
579,OQEMA d.o.o.,12282,0.041318835,0,0,0.226277372,0.429583333,0,0,0,34.85897705,2,1,0,2,1,4,2,1
580,Arion-Prom,12284,0.011645037,0,0,0,1,0,0,0,50.58225184,1,1,0,2,2,1,4,2
581,Fluechem Limited,12288,0.003507541,0.002277904,0,0.473684211,0.57,0,0,0,52.81516845,1,0,1,1,0,0,6,7
582,PRODUCTOS METAL PLAST S.L,12313,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
583,ZS Latvia bee,12317,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
584,Honey Sugar Product,12326,0,0,0,0,0.86,0,0,0,43,2,1,0,2,2,1,4,2
585,Gospodarstwo Pasieczne – Pasieka Jurajska sp. z o.o.,12333,0.087337776,0,0,0.833333333,0.86,0,0,0,89.03355548,1,0,1,1,0,3,1,0
586,BALMTA Ethanol,12338,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
587,GB-Chemie GmbH,12351,0.144370396,0.004555809,0.009090909,0.828070175,0.539404389,0,0,0,78.32159157,1,0,1,1,0,3,1,5
588,CELIAS d.o.o.,12354,0.002806033,0.002277904,0,0.833333333,0.591428571,0,0,0,71.83397775,1,0,1,1,0,3,1,5
589,Prakash chemicals,12362,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
590,Bactitox Uk Limited,12364,0.020694493,0,0,0,0.71,0,0,0,36.53472466,2,1,0,2,2,1,4,2
591,ISK Metal Kimya,12382,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
592,SPEX GROUP SP.Z O.O.,12388,0,0,0,0,0.906666667,0,0,0,45.33333333,1,1,0,2,2,1,4,2
593,Şanlıgazi - Mehmet Özdemir Şanlıgazi Temizlik Malzemeleri,12401,0.006453876,0.009111617,0,0.7,1,0,0,0,87.14501725,1,0,1,1,0,3,1,0
594,Telkes Gép,12420,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
595,PT INDONESIA BENTONITE,12422,0.005682217,0,0,0,0.57,0,0,0,28.78411084,2,1,0,2,1,4,2,1
596,UAB Oqema,12426,0.14472115,0.01594533,0,0.274074074,0.43243553,0,0,0,45.75060379,1,1,0,2,1,0,6,7
597,Gri Beyaz,12442,0.111750263,0.134396355,0.154545455,1,0.474026846,0.000535265,0,1,337.1307439,0,0,1,3,4,5,5,4
598,Simmi Enterprises,12453,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
599,Gajarda Srl,12469,0.000982112,0,0,0.6,0.43,0,0,0,51.54910558,1,0,1,1,0,0,6,7
600,All In Packaging - Nordtek,12477,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
601,ABHINANDAN IMPEX,12500,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
602,MCW Müller Chemikalien Wertstoffe GmbH,12526,0.036197825,0.041002278,0,0.989690722,0.521,0,0,0,85.54488293,1,0,1,1,0,3,1,5
603,Ronda GmbH,12530,0.008628551,0,0,0,0.71,0,0,0,35.93142757,2,1,0,2,2,1,4,2
604,NHAT HUY INVESTMENT JOINT STOCK COMPANY,12533,0.003086636,0,0,0.375,0.682,0,0,0,53.00433181,1,1,0,2,2,0,6,7
605,CnP Polymer GmbH,12546,0.003858295,0.002277904,0,0,0.71,0,0,0,36.14849563,2,1,0,2,2,1,4,2
606,GYAN FLAVOURS EXPORT,12549,0.000911961,0,0,0,0.86,0,0,0,43.04559804,1,1,0,2,2,1,4,2
607,Vatsalya Enterprise,12568,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
608,IZEL KIMYA SANAYI VE TIC. A.S.,12570,0.006383725,0,0,0.4,0.71,0,0,0,55.81918625,1,1,0,2,2,0,6,7
609,BISON Group Ltd,12572,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
610,Multitubes Group,12588,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
611,anatolia kimya,12624,0.080673448,0.123006834,0.009090909,0.983606557,0.984444444,9.80E-05,0,0,128.8655703,0,0,1,1,0,3,1,0
612,AZIMAX PETROL GIDA ENERJI INSAAT TURIZM DANISMANLIK TEKSTIL VE SAN TIC IHR.ITH. LTD STI,12644,0.011294283,0,0,0,0.86,0,0,0,43.56471414,1,1,0,2,2,1,4,2
613,Alps Chemicals Private Limited,12652,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
614,AGRI-ESSENCE (SINGAPORE) Co Pte Ltd,12660,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
615,SAI ADVERTISING,12695,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
